",Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth"
"1953,2023,4,National,All,Non-Hispanic White,All,All,All,Urban,13520899.0,16817247.0,1808889.0,0.1338"
"1954,2024,Overall,National,All,All,All,All,All,All,27361263.0,27982142.167,6749825.0,0.2467"
"1955,2024,Overall,National,All,All,All,All,All,Rural,6222072.0,6371275.0,1184222.0,0.1903"
"1956,2024,Overall,National,All,All,All,All,All,Urban,21081806.0,21501561.583,5556369.0,0.2636"
"1957,2024,Overall,National,All,All,All,All,0-64,All,2559219.0,2609632.4167,927086.0,0.3623"
"1958,2024,Overall,National,All,All,All,All,65-74,All,12656132.0,13073120.167,2902076.0,0.2293"
"1959,2024,Overall,National,All,All,All,All,75-84,All,8693479.0,8907660.5833,2091937.0,0.2406"
"1960,2024,Overall,National,All,All,All,All,85 and over,All,3452433.0,3391729.0,828726.0,0.24"
"1961,2024,Overall,National,All,All,All,Aged,All,All,24638542.0,25232755.583,5759235.0,0.2337"
"1962,2024,Overall,National,All,All,All,Disabled,All,All,2427320.0,2501323.8333,880569.0,0.3628"
"1963,2024,Overall,National,All,All,All,ESRD,All,All,295401.0,248062.75,110021.0,0.3724"
"1964,2024,Overall,National,All,All,Female,All,All,All,15274921.0,15289480.667,3989192.0,0.2612"
"1965,2024,Overall,National,All,All,Male,All,All,All,12086342.0,12692661.5,2760633.0,0.2284"
"1966,2024,Overall,National,All,American Indian/Alaska Native,All,All,All,All,123908.0,125452.66667,29420.0,0.2374"
"1967,2024,Overall,National,All,American Indian/Alaska Native,All,All,All,Rural,70665.0,71490.5,15784.0,0.2234"
"1968,2024,Overall,National,All,American Indian/Alaska Native,All,All,All,Urban,52780.0,53416.75,13464.0,0.2551"
"1969,2024,Overall,National,All,American Indian/Alaska Native,All,All,0-64,All,27213.0,27896.166667,8656.0,0.3181"
"1970,2024,Overall,National,All,American Indian/Alaska Native,All,All,65-74,All,46253.0,46864.25,10210.0,0.2207"
"1971,2024,Overall,National,All,American Indian/Alaska Native,All,All,75-84,All,37145.0,37686.25,7888.0,0.2124"
"1972,2024,Overall,National,All,American Indian/Alaska Native,All,All,85 and over,All,13297.0,13006.0,2666.0,0.2005"
"1973,2024,Overall,National,All,American Indian/Alaska Native,All,Aged,All,All,94748.0,95892.583333,20127.0,0.2124"
"1974,2024,Overall,National,All,American Indian/Alaska Native,All,Disabled,All,All,24920.0,25949.166667,7850.0,0.315"
"1975,2024,Overall,National,All,American Indian/Alaska Native,All,ESRD,All,All,4240.0,3610.9166667,1443.0,0.3403"
"1976,2024,Overall,National,All,American Indian/Alaska Native,Female,All,All,All,72179.0,71043.916667,18200.0,0.2522"
"1977,2024,Overall,National,All,American Indian/Alaska Native,Male,All,All,All,51729.0,54408.75,11220.0,0.2169"
"1978,2024,Overall,National,All,Asian/Pacific Islander,All,All,All,All,872373.0,939383.91667,265169.0,0.304"
"1979,2024,Overall,National,All,Asian/Pacific Islander,All,All,All,Rural,42738.0,46255.083333,9192.0,0.2151"
"1980,2024,Overall,National,All,Asian/Pacific Islander,All,All,All,Urban,821646.0,876989.16667,255274.0,0.3107"
"1981,2024,Overall,National,All,Asian/Pacific Islander,All,All,0-64,All,60812.0,64428.916667,24159.0,0.3973"
"1982,2024,Overall,National,All,Asian/Pacific Islander,All,All,65-74,All,414298.0,450173.33333,112396.0,0.2713"
"1983,2024,Overall,National,All,Asian/Pacific Islander,All,All,75-84,All,268778.0,288968.66667,82800.0,0.3081"
"1984,2024,Overall,National,All,Asian/Pacific Islander,All,All,85 and over,All,128485.0,135813.0,45814.0,0.3566"
"1985,2024,Overall,National,All,Asian/Pacific Islander,All,Aged,All,All,801471.0,866151.5,236482.0,0.2951"
"1986,2024,Overall,National,All,Asian/Pacific Islander,All,Disabled,All,All,53221.0,57807.833333,21103.0,0.3965"
"1987,2024,Overall,National,All,Asian/Pacific Islander,All,ESRD,All,All,17681.0,15424.583333,7584.0,0.4289"
"1988,2024,Overall,National,All,Asian/Pacific Islander,Female,All,All,All,524792.0,557904.0,162566.0,0.3098"
"1989,2024,Overall,National,All,Asian/Pacific Islander,Male,All,All,All,347581.0,381479.91667,102603.0,0.2952"
"1990,2024,Overall,National,All,Black/African American,All,All,All,All,1925476.0,1966217.1667,501624.0,0.2605"
"1991,2024,Overall,National,All,Black/African American,All,All,All,Rural,222696.0,221545.33333,40970.0,0.184"
"1992,2024,Overall,National,All,Black/African American,All,All,All,Urban,1691731.0,1729392.6667,459174.0,0.2714"
"1993,2024,Overall,National,All,Black/African American,All,All,0-64,All,430203.0,428647.83333,139237.0,0.3237"
"1994,2024,Overall,National,All,Black/African American,All,All,65-74,All,839111.0,871712.91667,198355.0,0.2364"
"1995,2024,Overall,National,All,Black/African American,All,All,75-84,All,468400.0,480461.25,115862.0,0.2474"
"1996,2024,Overall,National,All,Black/African American,All,All,85 and over,All,187762.0,185395.16667,48170.0,0.2565"
"1997,2024,Overall,National,All,Black/African American,All,Aged,All,All,1456717.0,1505573.5,349166.0,0.2397"
"1998,2024,Overall,National,All,Black/African American,All,Disabled,All,All,387438.0,394775.58333,125703.0,0.3244"
"1999,2024,Overall,National,All,Black/African American,All,ESRD,All,All,81321.0,65868.083333,26755.0,0.329"
"2000,2024,Overall,National,All,Black/African American,Female,All,All,All,1109500.0,1079896.9167,314711.0,0.2837"
"2001,2024,Overall,National,All,Black/African American,Male,All,All,All,815976.0,886320.25,186913.0,0.2291"
"2002,2024,Overall,National,All,Hispanic,All,All,All,All,1549766.0,1704456.0833,451155.0,0.2911"
"2003,2024,Overall,National,All,Hispanic,All,All,All,Rural,198093.0,217404.83333,49248.0,0.2486"
"2004,2024,Overall,National,All,Hispanic,All,All,All,Urban,1344104.0,1469145.5,400954.0,0.2983"
"2005,2024,Overall,National,All,Hispanic,All,All,0-64,All,282304.0,288283.5,109689.0,0.3885"
"2006,2024,Overall,National,All,Hispanic,All,All,65-74,All,717494.0,809740.33333,184234.0,0.2568"
"2007,2024,Overall,National,All,Hispanic,All,All,75-84,All,380382.0,424737.5,104884.0,0.2757"
"2008,2024,Overall,National,All,Hispanic,All,All,85 and over,All,169586.0,181694.75,52348.0,0.3087"
"2009,2024,Overall,National,All,Hispanic,All,Aged,All,All,1245779.0,1398136.75,332916.0,0.2672"
"2010,2024,Overall,National,All,Hispanic,All,Disabled,All,All,253482.0,264669.16667,99364.0,0.392"
"2011,2024,Overall,National,All,Hispanic,All,ESRD,All,All,50505.0,41650.166667,18875.0,0.3737"
"2012,2024,Overall,National,All,Hispanic,Female,All,All,All,883172.0,920040.33333,278706.0,0.3156"
"2013,2024,Overall,National,All,Hispanic,Male,All,All,All,666594.0,784415.75,172449.0,0.2587"
"2014,2024,Overall,National,All,Non-Hispanic White,All,All,All,All,21942570.0,22254238.5,5244628.0,0.239"
"2015,2024,Overall,National,All,Non-Hispanic White,All,All,All,Rural,5528780.0,5647750.25,1036462.0,0.1875"
"2016,2024,Overall,National,All,Non-Hispanic White,All,All,All,Urban,16386732.0,16553648.917,4202655.0,0.2565"
"2017,2024,Overall,National,All,Non-Hispanic White,All,All,0-64,All,1643322.0,1676074.1667,602045.0,0.3664"
"2018,2024,Overall,National,All,Non-Hispanic White,All,All,65-74,All,10144305.0,10380063.75,2274409.0,0.2242"
"2019,2024,Overall,National,All,Non-Hispanic White,All,All,75-84,All,7241944.0,7365621.9167,1701388.0,0.2349"
"2020,2024,Overall,National,All,Non-Hispanic White,All,All,85 and over,All,2912999.0,2832478.6667,666786.0,0.2289"
"2021,2024,Overall,National,All,Non-Hispanic White,All,Aged,All,All,20213427.0,20503683.667,4608278.0,0.228"
"2022,2024,Overall,National,All,Non-Hispanic White,All,Disabled,All,All,1599671.0,1639529.75,585628.0,0.3661"
"2023,2024,Overall,National,All,Non-Hispanic White,All,ESRD,All,All,129472.0,111025.08333,50722.0,0.3918"
"2024,2024,Overall,National,All,Non-Hispanic White,Female,All,All,All,12276180.0,12237229.833,3095308.0,0.2521"
"2025,2024,Overall,National,All,Non-Hispanic White,Male,All,All,All,9666390.0,10017008.667,2149320.0,0.2223"
"2026,2024,Overall,National,Medicare & Medicaid,All,All,All,All,All,4697208.0,4504105.6667,1626762.0,0.3463"
"2027,2024,Overall,National,Medicare & Medicaid,All,All,All,All,Rural,1025566.0,978941.08333,296982.0,0.2896"
"2028,2024,Overall,National,Medicare & Medicaid,All,All,All,All,Urban,3662463.0,3512092.9167,1327337.0,0.3624"
"2029,2024,Overall,National,Medicare & Medicaid,All,All,All,0-64,All,1644549.0,1582545.9167,639367.0,0.3888"
"2030,2024,Overall,National,Medicare & Medicaid,All,All,All,65-74,All,1586996.0,1532011.4167,501021.0,0.3157"
"2031,2024,Overall,National,Medicare & Medicaid,All,All,All,75-84,All,889183.0,856539.16667,296226.0,0.3331"
"2032,2024,Overall,National,Medicare & Medicaid,All,All,All,85 and over,All,576480.0,533009.16667,190148.0,0.3298"
"2033,2024,Overall,National,Medicare & Medicaid,All,All,Aged,All,All,2998843.0,2879405.5833,965743.0,0.322"
"2034,2024,Overall,National,Medicare & Medicaid,All,All,Disabled,All,All,1568775.0,1523390.1667,610817.0,0.3894"
"2035,2024,Overall,National,Medicare & Medicaid,All,All,ESRD,All,All,129590.0,101309.91667,50202.0,0.3874"
"2036,2024,Overall,National,Medicare & Medicaid,All,Female,All,All,All,2692402.0,2510202.8333,988658.0,0.3672"
"2037,2024,Overall,National,Medicare & Medicaid,All,Male,All,All,All,2004806.0,1993902.8333,638104.0,0.3183"
"2038,2024,Overall,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,52029.0,50908.25,14458.0,0.2779"
"2039,2024,Overall,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,372483.0,375034.0,134737.0,0.3617"
"2040,2024,Overall,National,Medicare & Medicaid,Black/African American,All,All,All,All,729278.0,669369.16667,229995.0,0.3154"
"2041,2024,Overall,National,Medicare & Medicaid,Hispanic,All,All,All,All,722068.0,718414.25,256576.0,0.3553"
"2042,2024,Overall,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2616150.0,2481183.5833,914875.0,0.3497"
"2043,2024,Overall,National,Medicare Only,All,All,All,All,All,22664055.0,23478036.5,5123063.0,0.226"
"2044,2024,Overall,National,Medicare Only,All,All,All,All,Rural,5196506.0,5392333.9167,887240.0,0.1707"
"2045,2024,Overall,National,Medicare Only,All,All,All,All,Urban,17419343.0,17989468.667,4229032.0,0.2428"
"2046,2024,Overall,National,Medicare Only,All,All,All,0-64,All,914670.0,1027086.5,287719.0,0.3146"
"2047,2024,Overall,National,Medicare Only,All,All,All,65-74,All,11069136.0,11541108.75,2401055.0,0.2169"
"2048,2024,Overall,National,Medicare Only,All,All,All,75-84,All,7804296.0,8051121.4167,1795711.0,0.2301"
"2049,2024,Overall,National,Medicare Only,All,All,All,85 and over,All,2875953.0,2858719.8333,638578.0,0.222"
"2050,2024,Overall,National,Medicare Only,All,All,Aged,All,All,21639699.0,22353350.0,4793492.0,0.2215"
"2051,2024,Overall,National,Medicare Only,All,All,Disabled,All,All,858545.0,977933.66667,269752.0,0.3142"
"2052,2024,Overall,National,Medicare Only,All,All,ESRD,All,All,165811.0,146752.83333,59819.0,0.3608"
"2053,2024,Overall,National,Medicare Only,All,Female,All,All,All,12582519.0,12779277.833,3000534.0,0.2385"
"2054,2024,Overall,National,Medicare Only,All,Male,All,All,All,10081536.0,10698758.667,2122529.0,0.2105"
"2055,2024,Overall,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,71879.0,74544.416667,14962.0,0.2082"
"2056,2024,Overall,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,499890.0,564349.91667,130432.0,0.2609"
"2057,2024,Overall,National,Medicare Only,Black/African American,All,All,All,All,1196198.0,1296848.0,271629.0,0.2271"
"2058,2024,Overall,National,Medicare Only,Hispanic,All,All,All,All,827698.0,986041.83333,194579.0,0.2351"
"2059,2024,Overall,National,Medicare Only,Non-Hispanic White,All,All,All,All,19326420.0,19773054.917,4329753.0,0.224"
"2060,2024,1,National,All,All,All,All,All,All,21497684.0,27907933.0,2958496.0,0.1376"
"2061,2024,1,National,Medicare & Medicaid,All,All,All,All,All,3571310.0,4608764.6667,822051.0,0.2302"
"2062,2024,1,National,Medicare Only,All,All,All,All,All,17926374.0,23299168.333,2136445.0,0.1192"
"2063,2024,1,National,All,American Indian/Alaska Native,All,All,All,All,96306.0,126663.33333,12759.0,0.1325"
"2064,2024,1,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,39662.0,51852.333333,6714.0,0.1693"
"2065,2024,1,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,56644.0,74811.0,6045.0,0.1067"
"2066,2024,1,National,All,Asian/Pacific Islander,All,All,All,All,645916.0,936120.66667,119534.0,0.1851"
"2067,2024,1,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,280721.0,382419.66667,65630.0,0.2338"
"2068,2024,1,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,365195.0,553701.0,53904.0,0.1476"
"2069,2024,1,National,All,Black/African American,All,All,All,All,1452794.0,1979373.6667,223484.0,0.1538"
"2070,2024,1,National,Medicare & Medicaid,Black/African American,All,All,All,All,534898.0,688980.0,111074.0,0.2077"
"2071,2024,1,National,Medicare Only,Black/African American,All,All,All,All,917896.0,1290393.6667,112410.0,0.1225"
"2072,2024,1,National,All,Hispanic,All,All,All,All,1121304.0,1698255.3333,201894.0,0.1801"
"2073,2024,1,National,Medicare & Medicaid,Hispanic,All,All,All,All,519677.0,730234.0,121705.0,0.2342"
"2074,2024,1,National,Medicare Only,Hispanic,All,All,All,All,601627.0,968021.33333,80189.0,0.1333"
"2075,2024,1,National,All,Non-Hispanic White,All,All,All,All,17468127.0,22195405.333,2288847.0,0.131"
"2076,2024,1,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2057050.0,2552981.6667,480194.0,0.2334"
"2077,2024,1,National,Medicare Only,Non-Hispanic White,All,All,All,All,15411077.0,19642423.667,1808653.0,0.1174"
"2078,2024,1,National,All,All,Female,All,All,All,12165813.0,15257994.333,1790186.0,0.1471"
"2079,2024,1,National,Medicare & Medicaid,All,Female,All,All,All,2097885.0,2579074.6667,507396.0,0.2419"
"2080,2024,1,National,Medicare Only,All,Female,All,All,All,10067928.0,12678919.667,1282790.0,0.1274"
"2081,2024,1,National,All,American Indian/Alaska Native,Female,All,All,All,57099.0,71664.666667,7986.0,0.1399"
"2082,2024,1,National,All,Asian/Pacific Islander,Female,All,All,All,392069.0,555931.66667,74087.0,0.189"
"2083,2024,1,National,All,Black/African American,Female,All,All,All,859040.0,1087942.0,143755.0,0.1673"
"2084,2024,1,National,All,Hispanic,Female,All,All,All,653428.0,916715.0,127300.0,0.1948"
"2085,2024,1,National,All,Non-Hispanic White,Female,All,All,All,9896557.0,12211884.333,1383395.0,0.1398"
"2086,2024,1,National,All,All,Male,All,All,All,9331871.0,12649938.667,1168310.0,0.1252"
"2087,2024,1,National,Medicare & Medicaid,All,Male,All,All,All,1473425.0,2029690.0,314655.0,0.2136"
"2088,2024,1,National,Medicare Only,All,Male,All,All,All,7858446.0,10620248.667,853655.0,0.1086"
"2089,2024,1,National,All,American Indian/Alaska Native,Male,All,All,All,39207.0,54998.666667,4773.0,0.1217"
"2090,2024,1,National,All,Asian/Pacific Islander,Male,All,All,All,253847.0,380189.0,45447.0,0.179"
"2091,2024,1,National,All,Black/African American,Male,All,All,All,593754.0,891431.66667,79729.0,0.1343"
"2092,2024,1,National,All,Hispanic,Male,All,All,All,467876.0,781540.33333,74594.0,0.1594"
"2093,2024,1,National,All,Non-Hispanic White,Male,All,All,All,7571570.0,9983521.0,905452.0,0.1196"
"2094,2024,1,National,All,All,All,Aged,All,All,19462778.0,25143819.333,2425749.0,0.1246"
"2095,2024,1,National,Medicare & Medicaid,All,All,Aged,All,All,2301904.0,2959995.6667,458777.0,0.1993"
"2096,2024,1,National,Medicare Only,All,All,Aged,All,All,17160874.0,22183823.667,1966972.0,0.1146"
"2097,2024,1,National,All,American Indian/Alaska Native,All,Aged,All,All,73938.0,96721.333333,8117.0,0.1098"
"2098,2024,1,National,All,Asian/Pacific Islander,All,Aged,All,All,592677.0,863100.33333,104410.0,0.1762"
"2099,2024,1,National,All,Black/African American,All,Aged,All,All,1112950.0,1510442.6667,146735.0,0.1318"
"2100,2024,1,National,All,Hispanic,All,Aged,All,All,899772.0,1391536.6667,140685.0,0.1564"
"2101,2024,1,National,All,Non-Hispanic White,All,Aged,All,All,16147435.0,20431005.333,1936588.0,0.1199"
"2102,2024,1,National,All,All,All,Disabled,All,All,1779824.0,2503869.0,481383.0,0.2705"
"2103,2024,1,National,Medicare & Medicaid,All,All,Disabled,All,All,1160957.0,1541837.6667,339561.0,0.2925"
"2104,2024,1,National,Medicare Only,All,All,Disabled,All,All,618867.0,962031.33333,141822.0,0.2292"
"2105,2024,1,National,All,American Indian/Alaska Native,All,Disabled,All,All,18574.0,26151.666667,3948.0,0.2126"
"2106,2024,1,National,All,Asian/Pacific Islander,All,Disabled,All,All,37928.0,57094.0,11351.0,0.2993"
"2107,2024,1,National,All,Black/African American,All,Disabled,All,All,271927.0,400067.33333,64797.0,0.2383"
"2108,2024,1,National,All,Hispanic,All,Disabled,All,All,179790.0,263833.0,52591.0,0.2925"
"2109,2024,1,National,All,Non-Hispanic White,All,Disabled,All,All,1204346.0,1646107.6667,328095.0,0.2724"
"2110,2024,1,National,All,All,All,ESRD,All,All,255082.0,260244.66667,51364.0,0.2014"
"2111,2024,1,National,Medicare & Medicaid,All,All,ESRD,All,All,108449.0,106931.33333,23713.0,0.2187"
"2112,2024,1,National,Medicare Only,All,All,ESRD,All,All,146633.0,153313.33333,27651.0,0.1886"
"2113,2024,1,National,All,American Indian/Alaska Native,All,ESRD,All,All,3794.0,3790.3333333,694.0,0.1829"
"2114,2024,1,National,All,Asian/Pacific Islander,All,ESRD,All,All,15311.0,15926.333333,3773.0,0.2464"
"2115,2024,1,National,All,Black/African American,All,ESRD,All,All,67917.0,68863.666667,11952.0,0.176"
"2116,2024,1,National,All,Hispanic,All,ESRD,All,All,41742.0,42885.666667,8618.0,0.2065"
"2117,2024,1,National,All,Non-Hispanic White,All,ESRD,All,All,116346.0,118292.33333,24164.0,0.2077"
"2118,2024,1,National,All,All,All,All,0-64,All,1884190.0,2612861.0,502736.0,0.2668"
"2119,2024,1,National,Medicare & Medicaid,All,All,All,0-64,All,1222051.0,1602680.3333,352874.0,0.2888"
"2120,2024,1,National,Medicare Only,All,All,All,0-64,All,662139.0,1010180.6667,149862.0,0.2263"
"2121,2024,1,National,All,American Indian/Alaska Native,All,All,0-64,All,20566.0,28149.333333,4355.0,0.2118"
"2122,2024,1,National,All,Asian/Pacific Islander,All,All,0-64,All,43964.0,63626.333333,12826.0,0.2917"
"2123,2024,1,National,All,Black/African American,All,All,0-64,All,305434.0,434508.66667,70763.0,0.2317"
"2124,2024,1,National,All,Hispanic,All,All,0-64,All,202267.0,287334.66667,57298.0,0.2833"
"2125,2024,1,National,All,Non-Hispanic White,All,All,0-64,All,1239708.0,1683188.6667,335866.0,0.2709"
"2126,2024,1,National,All,All,All,All,65-74,All,9244971.0,12660073.667,1208878.0,0.1308"
"2127,2024,1,National,Medicare & Medicaid,All,All,All,65-74,All,1124957.0,1535953.0,236219.0,0.21"
"2128,2024,1,National,Medicare Only,All,All,All,65-74,All,8120014.0,11124120.667,972659.0,0.1198"
"2129,2024,1,National,All,American Indian/Alaska Native,All,All,65-74,All,34058.0,46119.0,4114.0,0.1208"
"2130,2024,1,National,All,Asian/Pacific Islander,All,All,65-74,All,279212.0,435404.33333,46343.0,0.166"
"2131,2024,1,National,All,Black/African American,All,All,65-74,All,599127.0,856351.0,83074.0,0.1387"
"2132,2024,1,National,All,Hispanic,All,All,65-74,All,478394.0,784486.33333,75888.0,0.1586"
"2133,2024,1,National,All,Non-Hispanic White,All,All,65-74,All,7492601.0,10039870.333,949385.0,0.1267"
"2134,2024,1,National,All,All,All,All,75-84,All,7358400.0,9063428.0,891375.0,0.1211"
"2135,2024,1,National,Medicare & Medicaid,All,All,All,75-84,All,728034.0,895133.0,141330.0,0.1941"
"2136,2024,1,National,Medicare Only,All,All,All,75-84,All,6630366.0,8168295.0,750045.0,0.1131"
"2137,2024,1,National,All,American Indian/Alaska Native,All,All,75-84,All,30490.0,38669.0,3225.0,0.1058"
"2138,2024,1,National,All,Asian/Pacific Islander,All,All,75-84,All,215506.0,294521.66667,37704.0,0.175"
"2139,2024,1,National,All,Black/African American,All,All,75-84,All,389796.0,493085.0,49155.0,0.1261"
"2140,2024,1,National,All,Hispanic,All,All,75-84,All,301450.0,435019.33333,45260.0,0.1501"
"2141,2024,1,National,All,Non-Hispanic White,All,All,75-84,All,6175516.0,7488934.0,721830.0,0.1169"
"2142,2024,1,National,All,All,All,All,85 and over,All,3010123.0,3571570.3333,355507.0,0.1181"
"2143,2024,1,National,Medicare & Medicaid,All,All,All,85 and over,All,496268.0,574998.33333,91628.0,0.1846"
"2144,2024,1,National,Medicare Only,All,All,All,85 and over,All,2513855.0,2996572.0,263879.0,0.105"
"2145,2024,1,National,All,American Indian/Alaska Native,All,All,85 and over,All,11192.0,13726.0,1065.0,0.0952"
"2146,2024,1,National,All,Asian/Pacific Islander,All,All,85 and over,All,107234.0,142568.33333,22661.0,0.2113"
"2147,2024,1,National,All,Black/African American,All,All,85 and over,All,158437.0,195429.0,20492.0,0.1293"
"2148,2024,1,National,All,Hispanic,All,All,85 and over,All,139193.0,191415.0,23448.0,0.1685"
"2149,2024,1,National,All,Non-Hispanic White,All,All,85 and over,All,2560302.0,2983412.3333,281766.0,0.1101"
"2150,2024,1,National,All,All,All,All,All,Rural,4761959.0,6373641.3333,497275.0,0.1044"
"2151,2024,1,National,Medicare & Medicaid,All,All,All,All,Rural,782165.0,1009433.6667,147934.0,0.1891"
"2152,2024,1,National,Medicare Only,All,All,All,All,Rural,3979794.0,5364207.6667,349341.0,0.0878"
"2153,2024,1,National,All,American Indian/Alaska Native,All,All,All,Rural,54948.0,72342.666667,6764.0,0.1231"
"2154,2024,1,National,All,Asian/Pacific Islander,All,All,All,Rural,30292.0,45719.0,3984.0,0.1315"
"2155,2024,1,National,All,Black/African American,All,All,All,Rural,169064.0,225874.0,17222.0,0.1019"
"2156,2024,1,National,All,Hispanic,All,All,All,Rural,142148.0,216425.33333,22214.0,0.1563"
"2157,2024,1,National,All,Non-Hispanic White,All,All,All,Rural,4250774.0,5650560.0,433710.0,0.102"
"2158,2024,1,National,All,All,All,All,All,Urban,16695385.0,21423812.333,2457675.0,0.1472"
"2159,2024,1,National,Medicare & Medicaid,All,All,All,All,Urban,2782071.0,3585979.3333,672931.0,0.2419"
"2160,2024,1,National,Medicare Only,All,All,All,All,Urban,13913314.0,17837833.0,1784744.0,0.1283"
"2161,2024,1,National,All,American Indian/Alaska Native,All,All,All,Urban,40982.0,53764.666667,5926.0,0.1446"
"2162,2024,1,National,All,Asian/Pacific Islander,All,All,All,Urban,610393.0,874203.0,115335.0,0.189"
"2163,2024,1,National,All,Black/African American,All,All,All,Urban,1275987.0,1738160.6667,205757.0,0.1613"
"2164,2024,1,National,All,Hispanic,All,All,All,Urban,973968.0,1463551.0,179349.0,0.1841"
"2165,2024,1,National,All,Non-Hispanic White,All,All,All,Urban,13197680.0,16491348.333,1852861.0,0.1404"
"2166,2024,2,National,All,All,All,All,All,All,21843512.0,27936342.0,2762944.0,0.1265"
"2167,2024,2,National,Medicare & Medicaid,All,All,All,All,All,3534852.0,4526757.3333,779671.0,0.2206"
"2168,2024,2,National,Medicare Only,All,All,All,All,All,18308660.0,23409584.667,1983273.0,0.1083"
"2169,2024,2,National,All,American Indian/Alaska Native,All,All,All,All,96945.0,125860.66667,12313.0,0.127"
"2170,2024,2,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,39747.0,51131.666667,6524.0,0.1641"
"2171,2024,2,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,57198.0,74729.0,5789.0,0.1012"
"2172,2024,2,National,All,Asian/Pacific Islander,All,All,All,All,659935.0,938383.66667,114851.0,0.174"
"2173,2024,2,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,281424.0,377551.33333,62666.0,0.2227"
"2174,2024,2,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,378511.0,560832.33333,52185.0,0.1379"
"2175,2024,2,National,All,Black/African American,All,All,All,All,1445946.0,1966775.6667,209838.0,0.1451"
"2176,2024,2,National,Medicare & Medicaid,Black/African American,All,All,All,All,522123.0,672753.33333,104873.0,0.2009"
"2177,2024,2,National,Medicare Only,Black/African American,All,All,All,All,923823.0,1294022.3333,104965.0,0.1136"
"2178,2024,2,National,All,Hispanic,All,All,All,All,1139791.0,1700488.3333,195221.0,0.1713"
"2179,2024,2,National,Medicare & Medicaid,Hispanic,All,All,All,All,523605.0,721252.0,118445.0,0.2262"
"2180,2024,2,National,Medicare Only,Hispanic,All,All,All,All,616186.0,979236.33333,76776.0,0.1246"
"2181,2024,2,National,All,Non-Hispanic White,All,All,All,All,17765667.0,22219275.667,2122267.0,0.1195"
"2182,2024,2,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2024684.0,2497464.3333,450704.0,0.2226"
"2183,2024,2,National,Medicare Only,Non-Hispanic White,All,All,All,All,15740983.0,19721811.333,1671563.0,0.1062"
"2184,2024,2,National,All,All,Female,All,All,All,12385606.0,15265803.0,1669334.0,0.1348"
"2185,2024,2,National,Medicare & Medicaid,All,Female,All,All,All,2073102.0,2525712.0,479328.0,0.2312"
"2186,2024,2,National,Medicare Only,All,Female,All,All,All,10312504.0,12740091.0,1190006.0,0.1154"
"2187,2024,2,National,All,American Indian/Alaska Native,Female,All,All,All,57657.0,71228.333333,7674.0,0.1331"
"2188,2024,2,National,All,Asian/Pacific Islander,Female,All,All,All,400854.0,557204.0,71027.0,0.1772"
"2189,2024,2,National,All,Black/African American,Female,All,All,All,856942.0,1080346.6667,134384.0,0.1568"
"2190,2024,2,National,All,Hispanic,Female,All,All,All,664908.0,917536.66667,122359.0,0.184"
"2191,2024,2,National,All,Non-Hispanic White,Female,All,All,All,10087320.0,12219332.333,1281648.0,0.1271"
"2192,2024,2,National,All,All,Male,All,All,All,9457906.0,12670539.0,1093610.0,0.1156"
"2193,2024,2,National,Medicare & Medicaid,All,Male,All,All,All,1461750.0,2001045.3333,300343.0,0.2055"
"2194,2024,2,National,Medicare Only,All,Male,All,All,All,7996156.0,10669493.667,793267.0,0.0992"
"2195,2024,2,National,All,American Indian/Alaska Native,Male,All,All,All,39288.0,54632.333333,4639.0,0.1181"
"2196,2024,2,National,All,Asian/Pacific Islander,Male,All,All,All,259081.0,381179.66667,43824.0,0.1692"
"2197,2024,2,National,All,Black/African American,Male,All,All,All,589004.0,886429.0,75454.0,0.1281"
"2198,2024,2,National,All,Hispanic,Male,All,All,All,474883.0,782951.66667,72862.0,0.1534"
"2199,2024,2,National,All,Non-Hispanic White,Male,All,All,All,7678347.0,9999943.3333,840619.0,0.1095"
"2200,2024,2,National,All,All,All,Aged,All,All,19826715.0,25188069.667,2258926.0,0.1139"
"2201,2024,2,National,Medicare & Medicaid,All,All,Aged,All,All,2279941.0,2899035.3333,433686.0,0.1902"
"2202,2024,2,National,Medicare Only,All,All,Aged,All,All,17546774.0,22289034.333,1825240.0,0.104"
